common_name,species_group
Barbary hyena,Mammals
Rio Grande Silvery Minnow,Fishes
Rio Grande Silvery Minnow,Fishes
Anthricinan yellow-faced bee,Insects
Assimulans yellow-faced bee,Insects
Easy yellow-faced bee,Insects
Hilaris yellow-faced bee,Insects
Hawaiian yellow-faced bee,Insects
Hawaiian yellow-faced bee,Insects
Hawaiian yellow-faced bee,Insects
Gibbons,Mammals
Ayumodoki ,Fishes
Mariana eight-spot butterfly,Insects
Delta smelt,Fishes
Mauritius olivaceous Bulbul,Birds
Mount Charleston blue butterfly,Insects
Fender's blue butterfly,Insects
Mission blue butterfly,Insects
Yaqui catfish,Fishes
Indri lemur,Mammals
Rota blue damselfly,Insects
No common name,Corals
Koster's springsnail,Snails
Indian sawback turtle,Reptiles
Sonoyta mud turtle,Reptiles
Red lechwe,Mammals
Western hare wallaby,Mammals
Banded hare wallaby,Mammals
Yellow-tailed woolly monkey,Mammals
Pink mucket ,Clams
Higgins eye ,Clams
Arkansas fatmucket,Clams
Neosho Mucket,Clams
Speckled pocketbook,Clams
Alabama lampmussel,Clams
Alabama lampmussel,Clams
San Clemente loggerhead shrike,Birds
Banbury Springs limpet,Snails
Audouin's gull,Birds
Relict gull,Birds
Queensland hairy-nosed wombat ,Mammals
Hawaiian hoary bat,Mammals
Carolina heelsplitter,Clams
Eastern Black rail,Birds
Junin rail,Birds
African coelacanth,Fishes
Meltwater lednian stonefly,Insects
Round Island skink,Reptiles
Stephen Island frog,Amphibians
Birdwing pearlymussel,Clams
Birdwing pearlymussel,Clams
Birdwing pearlymussel,Clams
Lemurs,Mammals
Golden-rumped tamarin,Mammals
Ocelot,Mammals
Tiger cat,Mammals
Margay,Mammals
Kemp's ridley sea turtle,Reptiles
Olive ridley sea turtle,Reptiles
Olive ridley sea turtle,Reptiles
White River spinedace,Fishes
Big Spring spinedace,Fishes
Little Colorado spinedace,Fishes
Vernal pool tadpole shrimp,Crustaceans
Stick-nest rat,Mammals
Barbary serval,Mammals
White-browed tit-spinetail,Birds
Scaleshell mussel,Clams
Mexican long-nosed bat,Mammals
Greater adjutant,Birds
Cassius Blue Butterfly,Insects
Grenada gray-fronted dove,Birds
Round rocksnail,Snails
Interrupted  Rocksnail,Snails
Plicate rocksnail,Snails
Painted rocksnail,Snails
Flat pebblesnail,Snails
Semper's warbler ,Birds
Rothschild's starling ,Birds
Helmeted honeyeater,Birds
Maria Island snake,Reptiles
Cylindrical lioplax ,Snails
Chinese River Dolphin,Mammals
Lee County cave isopod,Crustaceans
Marine otter,Mammals
Long-tailed otter,Mammals
Southern river otter,Mammals
Chinese monal pheasant,Birds
Sclater's monal pheasant,Birds
Edward's pheasant,Birds
Imperial pheasant,Birds
Swinhoe's pheasant,Birds
Palila ,Birds
African elephant,Mammals
Akekee,Birds
Hawaii akepa,Birds
Maui akepa,Birds
Lotis blue butterfly,Insects
Karner blue butterfly,Insects
Hermes copper butterfly,Insects
African wild dog,Mammals
Mexican bobcat,Mammals
Canada Lynx,Mammals
Stump-tailed macaque,Mammals
Formosan rock macaque,Mammals
Japanese macaque,Mammals
Lion-tailed macaque,Mammals
Toque macaque,Mammals
Peppered chub,Fishes
Maleo megapode,Birds
Tasmanian forester kangaroo,Mammals
Parma wallaby,Mammals
Rabbit bandicoot,Mammals
Lesser rabbit bandicoot,Mammals
